"name","slug","post_body","meta_description","id","editLink"
"How do I export my Contacts?","knowledge/how-do-i-export-my-contacts","<p>Navigate to <strong>Leadin &gt; Contacts </strong>and click 'Export all contacts' in the top right of the screen</p><!--more--><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/contacts/export_contacts.png"" alt=""export_contacts.png"" title=""export_contacts.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""><br>Choose the file type you like (XLSX, XLS or CSV), the email address where we should send the file, and click 'Request Export'</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/contacts/export_contacts_2.png"" alt=""export_contacts_2.png"" title=""export_contacts_2.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><figure>Check your inbox, we'll generate an email and send it to you within the next couple of minutes which will include a link to download your contacts. If you don't receive this email please check your spam folder and if you still don't get it, <a href=""/knowledge#contact_form"" target=""_blank"">let us know</a>.</figure>","Navigate to Leadin > Contacts and click 'Export all contacts' in the top right of the screen",3565756073,"https://app.hubspot.com/content/324680/edit-beta/3565756073"
"Why can't I log into Leadin?","knowledge/why-cant-i-log-into-leadin","<p>If you are seeing an error when attempting to <a href=""https://app.hubspot.com/login/leadin"">log into Leadin</a>, there are a few potential causes depending on the type of account you have.</p><!--more--><p>If you are using the WordPress plugin version of Leadin, then you do not actually have a login for the web portal for Leadin. This is by design. The standalone version of Leadin was built for those using something other than WordPress to build their website. Do not fret, both version are exactly the same, the only difference is that you can manage Leadin right from within the WordPress interface.</p><p>If you have previously signed up for a Leadin account (not using the WordPress plugin) and you are having trouble accessing your account, try resetting your password <a href=""https://app.hubspot.com/login/leadin/forgot"">here</a>. If you are still experiencing issues, please <a href=""/knowledge#contact_form"">let us know</a>.</p><p>Since Leadin is built by HubSpot, we share the same infrastructure. This means that, if you use the HubSpot CRM, or Sidekick, or the HubSpot Marketing tool, you will use the same email and password to log into Leadin. If you attempt to log into Leadin using this email and password, but have not <a href=""https://app.hubspot.com/leadin-signup"">signed up for a Leadin account</a>, you will not be able to access Leadin. Please first sign up, and then you will be able to access Leadin.</p><p><a href=""/knowledge#contact_form"">Let us know.</a></p>","If you are seeing an error when attempting to log into Leadin, there are a few potential causes depending on the type of account you have.",3701236485,"https://app.hubspot.com/content/324680/edit-beta/3701236485"
"How do I build an email autoresponder in Leadin?","knowledge/how-do-i-build-an-email-autoresponder-in-leadin","<p>Leadin does not natively allow you to build popup confirmation emails right now. Fortunately, you can easily achieve the desired effect through one of the <a href=""/knowledge/connect-leadin-to-an-email-marketing-tool"" target=""_blank"">connected email providers</a> Leadin offers an integration with.</p><!--more--><p>Setting up an autoresponder in one of our email connectors should automatically send out an email to any new contact added to an email list through a form in Leadin.</p><p>Setting up an autoresponder in one of the email tools that connects with Leadin should be a breeze, and we've curated some resources below to help make it a little easier for you too.</p><ul><li><a href=""http://www.youtube.com/watch?v=MDWPAFRQunk"" rel=""nofollow"" target=""_blank"">How to set up autoresponders in MailChimp</a> [video]</li><li><a href=""https://support.getresponse.com/videos/create-autoresponders"" rel=""nofollow"" target=""_blank"">How to create autoresponders in GetResponse</a> [video + transcript]</li><li><a href=""http://support2.constantcontact.com/articles/FAQ/2497"" rel=""nofollow"" target=""_blank"">How do I create an Autoresponder email in Constant Contact?</a></li><li><a href=""http://help.campaignmonitor.com/topic.aspx?t=178"" rel=""nofollow"" target=""_blank"">Introducing Autoresponders in Campaign Monitor</a></li><li><a href=""http://www.aweber.com/autoresponder-how-to-get-started-guide.pdf"" rel=""nofollow"" target=""_blank"">How to Get Started with Autoresponders Guide for AWeber</a> [pdf]</li></ul>","Leadin does not natively allow you to build popup confirmation emails right now. Fortunately, you can easily achieve the desired effect through one of the connected email providers Leadin offers an integration with.",3506203424,"https://app.hubspot.com/content/324680/edit-beta/3506203424"
"The Leadin Weekly Digest email","knowledge/the-leadin-weekly-digest-email","<p>Every Monday, Leadin will send you a digest email outlining your performance for the previous week.</p><!--more--><p>This email includes a bunch of information, breaking down your newly generated contacts day-to-day, and by <a href=""/knowledge/how-does-leadin-categorise-the-source-of-a-contact"" target=""_blank"">source</a>, along with highlighting your most engaged contacts new and returning.</p><p>Leadin will automatically send this email out to you by default. It is sent to all email addresses listed under <strong>Email Notifications</strong>&nbsp;in Settings. If you wanted to enable/disable this email, simply check the box <strong>Send weekly digest email</strong>.</p><figure><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_notifications/weekly-digest.png"" alt=""weekly-digest.png"" title=""weekly-digest.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></figure><p>This email will provide you with a breakdown of the new contacts generated last week, broken down by day, and by source. You can use this information to identify which days perform the best, and also, which source channel is your most successful helping you identify which channel is working, and which might need some attention.</p><p>On top of this, we include a breakdown of the most engaged contacts, both new contacts and those returning to your website.</p>","Every Monday, Leadin will send you a digest email outlining your performance for the previous week. This email includes a bunch of information, breaking down your newly generated contacts day-to-day, and by source, along with highlighting your most engaged contacts new and returning.",3701236495,"https://app.hubspot.com/content/324680/edit-beta/3701236495"
"How does Leadin categorise the source of a contact?","knowledge/how-does-leadin-categorise-the-source-of-a-contact","<p>Leadin analyses each visit to your website and applies a series of rules to determine the source of the visit. Contact Sources in the Stats of Leadin are categorised based on the source of their first known visit.</p><!--more--><p>There are 6 potential categories used by Leadin (more specific rules can be found below):</p><ul><li><strong>Direct</strong>: Visits to your website with no referring source or tracking URL. Usually visitors who type your website directly into their browser.</li><li><strong>Email</strong>: Visits from tracking links in your emails. These links might be automatically added to the emails you send from providers like MailChimp. They can also be manually added as a tracking URLs.</li><li><strong>Organic</strong>: Non-paid visits from recognised search engines, like Google, Bing, Yahoo, etc.</li><li><strong>Paid</strong>: Visits from paid search ads that are either automatically identified by Leadin or set by tracking URLs.</li><li><strong>Referrals</strong>: Visits from links clicked on other websites.</li><li><strong>Social</strong>: Visits from links clicked on social media sites, like Facebook, Twitter, LinkedIn, etc.</li></ul><p>Leadin uses two methods to identify the source of a visit to your website.</p><ol><li>The first is by looking for a tracking URL, which is a parameter that can be added to the end of a link to your website. A tracking URL might look something like this: http://hubspot.com?utm_source=facebook&amp;utm_medium=social&amp;utm_campaign=xyz.</li><li>The second is by the “referrer,” which is the information passed along when someone clicks on a link from another website to your website. The referrer is the original site that contained the link to your website. If someone clicks on a link on 'cnn.com' to visit 'http://leadin.com', then the referrer is cnn.com.</li></ol><p>When determining the source of a visit, Leadin will honour the tracking URL first. If there is no tracking URL, Leadin will honor the referrer. If there is no tracking URL or referrer, Leadin will categorise the visit into direct traffic.</p><p>These rules are listed in order of importance. The first rule that is matched will determine the source of a visit.</p><table><tbody><tr><td colspan=""1""><strong>Rule Order </strong></td><td colspan=""1""><strong>Rule in Plain English</strong></td><td colspan=""1""><strong>Source</strong></td></tr><tr><td colspan=""1"">1</td><td colspan=""1"">utm_medium=“<strong>social</strong>” and utm_source= <strong>the name of a social network</strong><br> utm_medium="" <strong>social</strong>"" and referring domain is a <strong>social media site</strong></td><td colspan=""1"">Social</td></tr><tr><td colspan=""1"">3</td><td colspan=""1"">utm_source OR utm_medium OR utm_campaign OR source contains the word “<strong>email</strong>”</td><td colspan=""1"">Email</td></tr><tr><td colspan=""1"">4</td><td colspan=""1"">utm_source OR utm_medium OR utm_campaign OR source contains the word “<strong>adword</strong>”, “<strong>ppc</strong>”, or “<strong>cpc</strong>”</td><td colspan=""1"">Paid</td></tr><tr><td colspan=""1"">5</td><td colspan=""1""><strong>gclid</strong>= parameter is present (Google click ID)</td><td colspan=""1"">Paid</td></tr><tr><td colspan=""1"">6</td><td colspan=""1"">utm_source OR utm_medium OR utm_campaign is <strong>present </strong>and the referring domain is <strong>google.com</strong></td><td colspan=""1"">Paid</td></tr><tr><td colspan=""1"">8</td><td colspan=""1"">Referring domain is a <strong>social media site</strong></td><td colspan=""1"">Social</td></tr><tr><td colspan=""1"">9</td><td colspan=""1"">Referring domain is a <strong>search engine</strong></td><td colspan=""1"">Organic</td></tr><tr><td colspan=""1"">10</td><td colspan=""1"">Referring domain is <strong>not a social media site </strong>or <strong>search engine </strong></td><td colspan=""1"">Referral</td></tr><tr><td colspan=""1"">11</td><td colspan=""1"">Referring domain is a <strong>mail domain </strong>or <strong>RSS reader</strong></td><td colspan=""1"">Direct</td></tr></tbody></table><p><strong>IMPORTANT</strong>: these rules are case sensitive and may require lowercase utm parameters to be bucketed correctly.</p><ul><li>utm_source</li><li>utm_medium</li><li>utm_campaign</li></ul>","Leadin analyses each visit to your website and applies a series of rules to determine the source of the visit. Contact Sources in the Stats of Leadin are categorised based on the source of their first known visit. There are 6 potential categories used by Leadin.",3541336901,"https://app.hubspot.com/content/324680/edit-beta/3541336901"
"How do I connect Leadin to Constant Contact?","knowledge/how-do-i-connect-leadin-to-constant-contact","<p>Leadin can connect with your Constant Contact account to push contacts who submit your forms into specific lists in Constant Contact.</p><!--more--><ol><li>Navigate to <strong>Settings</strong>, in Leadin</li><li>Select Constant Contact as your Email Provider under <strong>Email Sync</strong>.</li><li>Click Connect to Constant Contact.</li></ol><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/cc1.png"" alt=""cc1.png"" title=""cc1.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;"" data-constrained=""true""></p><p>Log into Constant Contact and follow the prompts.</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/cc2.png"" alt=""cc2.png"" title=""cc2.png"" width=""1024"" style=""display: block; margin-left: auto; margin-right: auto; width: 1024px;""></p><p>Once you have Leadin and Constant Contact connected, next up you can select which forms push to which Constant Contact lists.</p><ol><li>Navigate to <strong>Collected Forms</strong>, in Leadin.</li><li>Select the form you would like to push to Constant Contact.</li><li>Click <strong>Actions&nbsp;</strong>and&nbsp;<strong>Edit Constant Contact&nbsp;lists</strong>.</li><li>Check the Constant Contact&nbsp;list(s) you would like to push contacts into.</li><li>Click <strong>Save</strong><em><em>.</em></em></li><li>You should be all set. Leadin&nbsp;will successfully push to the selected Constant Contact lists for future contacts.</li><li>For <strong>Lead Flows&nbsp;</strong>you can find the same option under the&nbsp;<strong>Options</strong> tab of the editor.</li></ol><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/esppush.gif"" alt=""esppush.gif"" title=""esppush.gif"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""><br><p style=""text-align: center;""><span style=""font-size: 12px;"">The above GIF shows a&nbsp;MailChimp example, it is the same process for all email providers.</span></p><p>Leadin will automatically push new contacts who submit your form to your chosen Constant Contact lists however it is important to note that&nbsp;Leadin will not retroactively push contacts who submitted your form before configuring these steps, only new contacts going forward.</p>","Leadin can connect with your Constant Contact account to push contacts who submit your forms into specific lists in Constant Contact.",3701213965,"https://app.hubspot.com/content/324680/edit-beta/3701213965"
"How do I connect Leadin to GetResponse?","knowledge/how-do-i-connect-leadin-to-getresponse","<p>Leadin can connect with your GetResponse account to push contacts who submit your forms into specific lists in GetResponse.</p><!--more--><ol><li>Navigate to <strong>Settings</strong>, in Leadin.</li><li>Select GetResponse as your Email Provider under <strong>Email Sync</strong>.</li><li>Paste your GetResponse API key in the API Key field. If you don't know how to find your GetResponse API key, read <a href=""http://support.getresponse.com/faq/where-i-find-api-key"">Where can I find the API key?</a>.</li><li>Click <strong>Save Settings</strong>.</li></ol><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/getresponse.png"" alt=""getresponse.png"" title=""getresponse.png"" width=""640"" style=""width: 640px; display: block; margin-left: auto; margin-right: auto;"" data-constrained=""true""></p><p>Once you have Leadin and GetResponse connected, next up you can select which forms push to which GetResponse lists.</p><ol><li>Navigate to <strong>Collected Forms</strong>, in Leadin.</li><li>Select the form you would like to push to GetResponse.</li><li>Click <strong>Actions&nbsp;</strong>and&nbsp;<strong>Edit GetResponse&nbsp;lists</strong>.</li><li>Check the GetResponse&nbsp;list(s) you would like to push contacts into.</li><li>Click <strong>Save</strong><em><em>.</em></em></li><li>You should be all set. Leadin&nbsp;will successfully push to the selected GetResponse&nbsp;lists for future contacts.</li><li>For <strong>Lead Flows&nbsp;</strong>you can find the same option under the&nbsp;<strong>Options</strong> tab of the editor.</li></ol><br><p style=""text-align: center;""><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/esppush.gif"" alt=""esppush.gif"" title=""esppush.gif"" width=""640"" style=""width: 640px; display: block; margin-left: auto; margin-right: auto;""><span style=""font-size: 12px;"">The above GIF shows a&nbsp;MailChimp example, it is the same process for all email providers.</span></p><p>Leadin will automatically push new contacts who submit your form to your chosen GetResponse lists however it is important to note that&nbsp;Leadin will not retroactively push contacts who submitted your form before configuring these steps, only new contacts going forward.</p>","Leadin can connect with your GetResponse account to push contacts who submit your forms into specific lists in GetResponse.",3565756083,"https://app.hubspot.com/content/324680/edit-beta/3565756083"
"How do I connect Leadin to AWeber?","knowledge/how-do-i-connect-leadin-to-aweber","<p>Leadin can connect with your AWeber account to push contacts who submit your forms into specific lists in AWeber.</p><!--more--><ol><li>Navigate to <strong>Settings</strong>, in Leadin.</li><li>Select AWeber as your Email Provider under <strong>Email Sync</strong>.</li><li>Click <strong>Connect to AWeber</strong>.</li></ol><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/aweber1.png"" alt=""aweber1.png"" title=""aweber1.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;"" data-constrained=""true""><p>Log into AWeber and follow the prompts.</p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/aweber2.png"" alt=""aweber2.png"" title=""aweber2.png"" width=""1024"" style=""width: 1024px;""><p>Once you have Leadin and AWeber connected, next up you can select which forms push to which AWeber lists.</p><ol><li>Navigate to <strong>Collected Forms</strong>, in Leadin.</li><li>Select the form you would like to push to AWeber.</li><li>Click <strong>Actions&nbsp;</strong>and&nbsp;<strong>Edit AWeber lists</strong>.</li><li>Check the AWeber list(s) you would like to push contacts into.</li><li>Click <strong>Save</strong><em><em>.</em></em></li><li>You should be all set. Leadin&nbsp;will successfully push to the selected AWeber lists for future contacts.</li><li>For <strong>Lead Flows&nbsp;</strong>you can find the same option under the&nbsp;<strong>Options</strong> tab of the editor.</li></ol><p style=""text-align: center;""><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/esppush.gif"" alt=""esppush.gif"" title=""esppush.gif"" width=""1500"" style=""width: 1500px; display: block; margin-left: auto; margin-right: auto;"" caption=""false"" data-constrained=""true""><span style=""font-size: 12px;"">The above GIF shows a&nbsp;MailChimp example, it is the same process for all email providers.</span></p><p>Leadin will automatically push new contacts who submit your form to your chosen AWeber lists however it is important to note that&nbsp;Leadin will not retroactively push contacts who submitted your form before configuring these steps, only new contacts going forward.</p>","Leadin can connect with your AWeber account to push contacts who submit your forms into specific lists in AWeber.",3565756078,"https://app.hubspot.com/content/324680/edit-beta/3565756078"
"How do I connect Leadin to MailChimp?","knowledge/how-do-i-connect-leadin-to-mailchimp","<p>Leadin can connect with your MailChimp account to push contacts who submit your forms into specific lists in MailChimp.</p><ol><li>Navigate to <strong>Settings</strong>, in Lead Flows or Collected Forms.</li><li>Select MailChimp as your Email Provider under <strong>Email Sync</strong>.</li><li>Click '<strong>Connect to MailChimp</strong>' to integrate Leadin and MailChimp together.</li></ol><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/mcsetup.png"" alt=""mcsetup.png"" title=""mcsetup.png"" width=""640"" style=""width: 640px; display: block; margin-left: auto; margin-right: auto;"" data-constrained=""true"" caption=""false""></p><p>Once you have Leadin and MailChimp connected, next up you can select which forms push to which MailChimp lists.</p><ol><li>Navigate to <strong>Collected Forms</strong>, in Leadin.</li><li>Select the form you would like to push to MailChimp.</li><li>Click <strong>Actions&nbsp;</strong>and&nbsp;<strong>Edit MailChimp&nbsp;lists</strong>.</li><li>Check the MailChimp&nbsp;list(s) you would like to push contacts into.</li><li>Click <strong>Save</strong><em><em>.</em></em></li><li>You should be all set. Leadin&nbsp;will successfully push to the selected MailChimp&nbsp;lists for future contacts.</li><li>For <strong>Lead Flows&nbsp;</strong>you can find the same option under the&nbsp;<strong>Options</strong> tab of the editor.</li></ol><p style=""text-align: center;""><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/esppush.gif"" alt=""esppush.gif"" title=""esppush.gif"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""><span style=""font-size: 12px;"">The above GIF shows a&nbsp;MailChimp example, it is the same process for all email providers.</span></p><p>Leadin will automatically push new contacts who submit your form to your chosen MailChimp list however it is important to note the following:</p><ul><li>Leadin will not retroactively push contacts who submitted your form before configuring these steps, only new contacts going forward.</li><li>Leadin will not be able to sync with a MailChimp list that has additional required fields like County for example. Since Leadin does not sync additional fields like this to MailChimp we will not be able to add them to your list. We recommend that you sync your form with another MailChimp list, or alternatively remove the requirement of these fields. <a href=""/knowledge/why-are-my-contacts-not-pushing-to-mailchimp"" target=""_blank"">Learn more here</a>.</li><li>Leadin does not currently trigger any auto response&nbsp;emails associated with the lists in&nbsp;MailChimp you are pushing to. This is something we are looking into adding in the future.</li></ul>","Leadin can connect with your MailChimp account to push contacts who submit your forms into specific lists in MailChimp.",3506180069,"https://app.hubspot.com/content/324680/edit-beta/3506180069"
"Why are my Contacts not pushing to MailChimp?","knowledge/why-are-my-contacts-not-pushing-to-mailchimp","<p>If you have configured Leadin to <a href=""/knowledge/how-do-i-connect-leadin-to-mailchimp"" target=""_blank"">push Contacts into your MailChimp lists</a> and your contacts are not making it into MailChimp successfully, below are some errors you might be seeing and what they mean.</p><!--more--><p>If your new contacts are not pushing to MailChimp, you can find out what the most recent error was by navigating to <strong>Settings&nbsp;</strong>where you wil see the most recent error listed under Email Sync.</p><p>From within Leadin settings you will see:</p><ol><li>The most recent error, as reported by MailChimp.</li><li>A button to dismiss this error once it has been resolved.</li></ol><figure><img alt=""mc2.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/mc2.png"" title=""mc2.png"" width=""640"" data-constrained=""true"" style=""width: 640px; display: block; margin-left: auto; margin-right: auto;""></figure><p>Some common errors:</p><ul><li>FNAME must be provided - Please enter a value</li><li>LNAME must be provided - Please enter a value</li><li>MMERGE2 must be provided - Please enter a value</li><li>MMERGE(x) must be provided - Please enter a value</li></ul><p>These errors are occurring because the MailChimp list has required <a href=""http://kb.mailchimp.com/merge-tags/using/getting-started-with-merge-tags#List-Merge-Tags"" rel=""nofollow"" target=""_blank"">Merge Tags</a> which Leadin does not send over a value for.</p><p>Leadin will always push email address to MailChimp, since we know the email address for a contact. If your forms include a first and last name field Leadin should capture this information too and send it to MailChimp.</p><p>Head on over to MailChimp and find the List that Leadin is pushing to. Go to <strong>Settings &gt; List fields and *|MERGE|* tags</strong> and you should see something like this:</p><figure><img alt=""mc3.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/mc3.png"" title=""mc3.png"" width=""640"" data-constrained=""true"" style=""width: 640px; display: block; margin-left: auto; margin-right: auto;""></figure><ol><li>The 'Put this tag in your content:' column will correspond with the error reported in Leadin.</li><li>The 'Required?' column will need to be unchecked in order for Leadin to be able to successfully push to this list.</li></ol>","If you have configured Leadin to push Contacts into your MailChimp lists and your contacts are not making it into MailChimp successfully, these are some errors you might be seeing and what they mean.",3572911672,"https://app.hubspot.com/content/324680/edit-beta/3572911672"
"How do I connect Leadin to Campaign Monitor?","knowledge/how-do-i-connect-leadin-to-campaign-monitor","<p>Leadin can connect with your Campaign Monitor account to push contacts who submit your forms into specific lists in Campaign Monitor.</p><!--more--><ol><li>Navigate to <strong>Settings</strong>, in Leadin.</li><li>Select Campaign Monitor as your Email Provider under <strong>Email Sync</strong>.</li><li>Paste your Campaign Monitor API key in the API Key field. If you don't know how to find your Campaign Monitor API key, read <a href=""http://help.campaignmonitor.com/topic.aspx?t=206"" rel=""nofollow"" target=""_blank"">Where can I find my API key?</a>.</li><li>Click <strong>Save Settings</strong>.</li></ol><figure><img alt=""campaign_monitor.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/campaign_monitor.png"" title=""campaign_monitor.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></figure><p>Once you have Leadin and Campaign Monitor connected, next up you can select which forms push to which Campaign Monitor lists.</p><ol><li>Navigate to <strong>Collected Forms</strong>, in Leadin.</li><li>Select the form you would like to push to Campaign Monitor.</li><li>Click <strong>Actions&nbsp;</strong>and&nbsp;<strong>Edit Campaign Monitor&nbsp;lists</strong>.</li><li>Check the Campaign Monitor&nbsp;list(s) you would like to push contacts into.</li><li>Click <strong>Save</strong><em><em>.</em></em></li><li>You should be all set. Leadin&nbsp;will successfully push to the selected Campaign Monitor&nbsp;lists for future contacts.</li><li>For <strong>Lead Flows&nbsp;</strong>you can find the same option under the&nbsp;<strong>Options</strong> tab of the editor.</li></ol><br><p style=""text-align: center;""><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/email_provider_integrations/esppush.gif"" alt=""esppush.gif"" title=""esppush.gif"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""><span style=""font-size: 12px;"">The above GIF shows a&nbsp;MailChimp example, it is the same process for all email providers.</span>&nbsp;</p><p>Leadin will automatically push new contacts who submit your form to your chosen Campaign Monitor lists however it is important to note that&nbsp;Leadin will not retroactively push contacts who submitted your form before configuring these steps, only new contacts going forward.</p>","Leadin can connect with your Campaign Monitor account to push contacts who submit your forms into specific lists in Campaign Monitor.",3541336906,"https://app.hubspot.com/content/324680/edit-beta/3541336906"
"How do I add the Leadin tracking code to Google Tag Manager?","knowledge/how-do-i-add-the-leadin-tracking-code-to-google-tag-manager","<p>In Leadin, navigate to <strong>Settings &gt; Embed Code</strong> and copy the embed code to your clipboard.</p><!--more--><p><img alt=""tracking-code-standalone.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/tracking-code-standalone.png"" title=""tracking-code-standalone.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p>Follow <a href=""https://support.google.com/tagmanager/answer/6107167?vid=1-635787003173073835-3391132817&amp;rd=1#CustomHTML"" rel=""nofollow"" target=""_blank"">these steps</a> to add Leadin as a <strong>Custom HTML Tag</strong>.","In Leadin, navigate to Settings > Embed Code and copy the embed code to your clipboard. Head over to Google Tag Manager and add Leadin as  Custom HTML Tag",3701236515,"https://app.hubspot.com/content/324680/edit-beta/3701236515"
"How do I install the Leadin tracking code on my Magento website?","knowledge/how-do-i-install-the-leadin-tracking-code-on-my-magento-website","<p>In Leadin, navigate to <strong>Settings &gt; Embed Code</strong> and copy the embed code to your clipboard.</p><!--more--><p><img alt=""tracking-code-standalone.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/tracking-code-standalone.png"" title=""tracking-code-standalone.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p>Follow Magento's instructions on installing third-party JavaScript code in the Header HTML:<strong> <a href=""http://merch.docs.magento.com/ee/user_guide/Magento_Enterprise_Edition_User_Guide.html#design/design-html-head.html%3FTocPath%3DDesign%2520%2526%2520Theme%7CPage%2520Setup%7C_____1"">Magento Design User Guide</a></strong>","In Leadin, navigate to Settings > Embed Code and copy the embed code to your clipboard and then embed in your Magento template.",3565808433,"https://app.hubspot.com/content/324680/edit-beta/3565808433"
"How do I install the Leadin tracking code on my Joomla website?","knowledge/how-do-i-install-the-leadin-tracking-code-on-my-joomla-website","<p>In Leadin, navigate to <strong>Settings &gt; Embed Code</strong> and copy the embed code to your clipboard.</p><!--more--><p><img alt=""tracking-code-standalone.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/tracking-code-standalone.png"" title=""tracking-code-standalone.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Log into Joomla as an administrator. Navigate to <strong>Extensions </strong>&gt; <strong>Template Manager</strong>.</p><p><img alt=""joomla1.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/joomla1.png"" title=""joomla1.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Toggle to the '<strong>Templates</strong>' view and <strong>click</strong> on your template.</p><p><img alt=""joomla2.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/joomla2.png"" title=""joomla2.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Open the '<strong>index.php</strong>' file (or your main file) and paste the Leadin tracking code directly above the <strong>&lt;/body&gt; </strong>tag.</p><p><img alt=""joomla3.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/settings/joomla3.png"" title=""joomla3.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p><strong>Save Changes</strong>.</p>","In Leadin, navigate to Settings > Embed Code and copy the embed code to your clipboard and paste into your main Joomla template.",3701236530,"https://app.hubspot.com/content/324680/edit-beta/3701236530"
