url,component,id,complete URL
es/articles/kcs_article/calling/why-is-my-microphone-not-working-when-making-calls,Calling,3590536239,http://sales.hubspot.com/es/articles/kcs_article/calling/why-is-my-microphone-not-working-when-making-calls
es/articles/kcs_article/contacts/why-was-my-contact-automatically-associated-with-a-company-in-hubspot-crm,Contacts,3795501775,http://sales.hubspot.com/es/articles/kcs_article/contacts/why-was-my-contact-automatically-associated-with-a-company-in-hubspot-crm
es/articles/kcs_article/contacts/will-hubspot-crm-update-the-lifecycle-stage-of-contacts-companies,Contacts,3652048587,http://sales.hubspot.com/es/articles/kcs_article/contacts/will-hubspot-crm-update-the-lifecycle-stage-of-contacts-companies
es/articles/kcs_article/sales-templates/sending-templates-from-crm,Sales-Templates,3625444981,http://sales.hubspot.com/es/articles/kcs_article/sales-templates/sending-templates-from-crm
es/articles/kcs_article/sales-templates/sending-templates-from-outlook,Sales-Templates,3625444951,http://sales.hubspot.com/es/articles/kcs_article/sales-templates/sending-templates-from-outlook
es/articles/kcs_article/contacts/can-i-remove-a-google-drive-folder-from-a-contact-company-or-deal-record,Contacts,3652048747,http://sales.hubspot.com/es/articles/kcs_article/contacts/can-i-remove-a-google-drive-folder-from-a-contact-company-or-deal-record
es/articles/kcs_article/contacts/can-i-sync-crm-engagements-to-salesforce-tasks-and-activities,Contacts,3795503525,http://sales.hubspot.com/es/articles/kcs_article/contacts/can-i-sync-crm-engagements-to-salesforce-tasks-and-activities
es/articles/kcs_article/meetings/can-you-integrate-outlook-meetings-with-hubspot,Meetings,3590536474,http://sales.hubspot.com/es/articles/kcs_article/meetings/can-you-integrate-outlook-meetings-with-hubspot
es/articles/kcs_article/contacts/how-do-i-import-my-sales-data-from-salesforce-into-the-hubspot-crm,Contacts,3795528810,http://sales.hubspot.com/es/articles/kcs_article/contacts/how-do-i-import-my-sales-data-from-salesforce-into-the-hubspot-crm
es/articles/kcs_article/integrations/how-does-hubspot-crm-integrate-with-google-calendar,Integrations,3590536489,http://sales.hubspot.com/es/articles/kcs_article/integrations/how-does-hubspot-crm-integrate-with-google-calendar
es/articles/kcs_article/integrations/how-does-the-crm-integrate-with-google-drive,Integrations,3590536519,http://sales.hubspot.com/es/articles/kcs_article/integrations/how-does-the-crm-integrate-with-google-drive
es/articles/kcs_article/dashboard/can-i-export-the-dashboard-information,Dashboard,3652080322,http://sales.hubspot.com/es/articles/kcs_article/dashboard/can-i-export-the-dashboard-information
es/articles/kcs_article/deals/why-are-all-my-deals-not-appearing-in-the-deal-forecast,Deals,3652074957,http://sales.hubspot.com/es/articles/kcs_article/deals/why-are-all-my-deals-not-appearing-in-the-deal-forecast
es/articles/kcs_article/email/why-emails-logged-in-the-crm-show-up-in-my-productivity,Email,3795501675,http://sales.hubspot.com/es/articles/kcs_article/email/why-emails-logged-in-the-crm-show-up-in-my-productivity
es/articles/kcs_article/deals/how-can-i-customize-the-closed-lost-reason-property-options,Deals,3652075857,http://sales.hubspot.com/es/articles/kcs_article/deals/how-can-i-customize-the-closed-lost-reason-property-options
es/articles/kcs_article/deals/how-do-i-see-my-open-deals-in-the-crm,Deals,3795528620,http://sales.hubspot.com/es/articles/kcs_article/deals/how-do-i-see-my-open-deals-in-the-crm
es/articles/kcs_article/deals/how-to-change-the-deal-stage-from-the-top-the-deal-record,Deals,3652048652,http://sales.hubspot.com/es/articles/kcs_article/deals/how-to-change-the-deal-stage-from-the-top-the-deal-record
es/articles/kcs_article/deals/how-to-set-up-deal-stages,Deals,3652075787,http://sales.hubspot.com/es/articles/kcs_article/deals/how-to-set-up-deal-stages
es/articles/kcs_article/deals/what-happens-when-a-deal-stage-is-changed-to-closed-won-or-closed-lost,Deals,3652075827,http://sales.hubspot.com/es/articles/kcs_article/deals/what-happens-when-a-deal-stage-is-changed-to-closed-won-or-closed-lost
es/articles/kcs_article/deals/what-is-the-deal-weighted-total,Deals,3795501645,http://sales.hubspot.com/es/articles/kcs_article/deals/what-is-the-deal-weighted-total
es/articles/kcs_article/deals/which-contact-and-company-activities-appear-in-the-deal-timeline,Deals,3652075942,http://sales.hubspot.com/es/articles/kcs_article/deals/which-contact-and-company-activities-appear-in-the-deal-timeline
es/articles/kcs_article/documents/what-types-of-files-can-be-uploaded-to-hubspot-documents,Documents,3795503340,http://sales.hubspot.com/es/articles/kcs_article/documents/what-types-of-files-can-be-uploaded-to-hubspot-documents
es/articles/kcs_article/sales-templates/how-can-i-report-on-email-templates,Sales-Templates,3590537259,http://sales.hubspot.com/es/articles/kcs_article/sales-templates/how-can-i-report-on-email-templates
es/articles/kcs_article/sales-templates/how-do-i-add-personalization-tokens-to-a-template,Sales-Templates,3625459666,http://sales.hubspot.com/es/articles/kcs_article/sales-templates/how-do-i-add-personalization-tokens-to-a-template
es/articles/kcs_article/sales-templates/how-do-i-create-an-email-template-in-hubspot-crm,Sales-Templates,3590559139,http://sales.hubspot.com/es/articles/kcs_article/sales-templates/how-do-i-create-an-email-template-in-hubspot-crm
es/articles/kcs_article/account/how-do-i-delete-a-crm-portal,Account,3625443041,http://sales.hubspot.com/es/articles/kcs_article/account/how-do-i-delete-a-crm-portal
es/articles/kcs_article/deals/how-can-i-change-the-currency-of-deals,Deals,3652076177,http://sales.hubspot.com/es/articles/kcs_article/deals/how-can-i-change-the-currency-of-deals
es/articles/kcs_article/settings/how-can-i-change-the-date-format-of-my-crm,Settings,3590512834,http://sales.hubspot.com/es/articles/kcs_article/settings/how-can-i-change-the-date-format-of-my-crm
es/articles/kcs_article/settings/how-can-i-change-the-time-zone-of-my-account,Settings,3652076182,http://sales.hubspot.com/es/articles/kcs_article/settings/how-can-i-change-the-time-zone-of-my-account
es/articles/kcs_article/settings/how-do-i-add-users-to-the-crm,Settings,3590512894,http://sales.hubspot.com/es/articles/kcs_article/settings/how-do-i-add-users-to-the-crm
es/articles/kcs_article/settings/what-are-the-crm-user-roles-and-permissions,Settings,3625443136,http://sales.hubspot.com/es/articles/kcs_article/settings/what-are-the-crm-user-roles-and-permissions
es/articles/kcs_article/contacts/from-excel-to-hubspot-crm,Contacts,3625442036,http://sales.hubspot.com/es/articles/kcs_article/contacts/from-excel-to-hubspot-crm
es/articles/kcs_article/settings/hubspot-crm-set-up-guide,Settings,3795527830,http://sales.hubspot.com/es/articles/kcs_article/settings/hubspot-crm-set-up-guide
es/articles/kcs_article/settings/blocking-yourself-from-being-tracked-by-users-with-hubspot-sales-installed,Settings,3651739738,http://sales.hubspot.com/es/articles/kcs_article/settings/blocking-yourself-from-being-tracked-by-users-with-hubspot-sales-installed
es/articles/kcs_article/settings/privacy-faqs,Settings,3795502980,http://sales.hubspot.com/es/articles/kcs_article/settings/privacy-faqs
es/articles/kcs_article/prospects/can-i-customize-my-daily-prospects-report-email,Prospects,3795503650,http://sales.hubspot.com/es/articles/kcs_article/prospects/can-i-customize-my-daily-prospects-report-email
es/articles/kcs_article/email-notifications/how-are-open-locations-gathered,Email-Notifications,3625443991,http://sales.hubspot.com/es/articles/kcs_article/email-notifications/how-are-open-locations-gathered
es/articles/kcs_article/email-notifications/how-can-i-see-the-number-of-notifications-that-i-have-had-this-month,Email-Notifications,3795502595,http://sales.hubspot.com/es/articles/kcs_article/email-notifications/how-can-i-see-the-number-of-notifications-that-i-have-had-this-month
es/articles/kcs_article/email-notifications/how-do-i-delete-a-notification,Email-Notifications,3625443736,http://sales.hubspot.com/es/articles/kcs_article/email-notifications/how-do-i-delete-a-notification
es/articles/kcs_article/email-notifications/how-do-i-mute-an-email-thread,Email-Notifications,3625443836,http://sales.hubspot.com/es/articles/kcs_article/email-notifications/how-do-i-mute-an-email-thread
es/articles/kcs_article/email-notifications/how-do-real-time-notifications-work,Email-Notifications,3795502570,http://sales.hubspot.com/es/articles/kcs_article/email-notifications/how-do-real-time-notifications-work
es/articles/kcs_article/email-notifications/how-to-search-your-activity-stream,Email-Notifications,3625443766,http://sales.hubspot.com/es/articles/kcs_article/email-notifications/how-to-search-your-activity-stream
es/articles/kcs_article/email-notifications/how-to-stop-getting-self-open-notifications-on-mobile,Email-Notifications,3795276960,http://sales.hubspot.com/es/articles/kcs_article/email-notifications/how-to-stop-getting-self-open-notifications-on-mobile
es/articles/kcs_article/email-notifications/my-notification-contains-multiple-open-locations,Email-Notifications,3652076742,http://sales.hubspot.com/es/articles/kcs_article/email-notifications/my-notification-contains-multiple-open-locations
es/articles/kcs_article/email-notifications/notification-time-zone,Email-Notifications,3652062457,http://sales.hubspot.com/es/articles/kcs_article/email-notifications/notification-time-zone
es/articles/kcs_article/email-notifications/receiving-several-open-notifications-for-an-email,Email-Notifications,3625443816,http://sales.hubspot.com/es/articles/kcs_article/email-notifications/receiving-several-open-notifications-for-an-email
es/articles/kcs_article/email-notifications/what-does-a-someone-notification-mean,Email-Notifications,3795501085,http://sales.hubspot.com/es/articles/kcs_article/email-notifications/what-does-a-someone-notification-mean
es/articles/kcs_article/email-notifications/how-do-i-turn-off-or-silence-real-time-notifications,Email-Notifications,3625443906,http://sales.hubspot.com/es/articles/kcs_article/email-notifications/how-do-i-turn-off-or-silence-real-time-notifications
es/articles/kcs_article/email-tracking/how-can-i-install-a-terminal-server-build-of-hubspot-sales-for-outlook,Email-Tracking,3651687978,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/how-can-i-install-a-terminal-server-build-of-hubspot-sales-for-outlook
es/articles/kcs_article/settings/how-do-i-uninstall-hubspot-sales,Settings,3625443441,http://sales.hubspot.com/es/articles/kcs_article/settings/how-do-i-uninstall-hubspot-sales
es/articles/kcs_article/settings/how-to-install-hubspot-sales,Settings,3795501115,http://sales.hubspot.com/es/articles/kcs_article/settings/how-to-install-hubspot-sales
es/articles/kcs_article/account/how-to-sign-up-for-hubspot-sales,Account,3625443181,http://sales.hubspot.com/es/articles/kcs_article/account/how-to-sign-up-for-hubspot-sales
es/articles/kcs_article/settings/how-to-update-hubspot-sales,Settings,3651688003,http://sales.hubspot.com/es/articles/kcs_article/settings/how-to-update-hubspot-sales
es/articles/kcs_article/mobile/hubspot-sales-mobile-applications,Mobile,3625443351,http://sales.hubspot.com/es/articles/kcs_article/mobile/hubspot-sales-mobile-applications
es/articles/kcs_article/email-tracking/what-email-clients-are-supported,Email-Tracking,3652079757,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/what-email-clients-are-supported
es/articles/kcs_article/email-tracking/what-versions-of-windows-are-supported,Email-Tracking,3625443281,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/what-versions-of-windows-are-supported
es/articles/kcs_article/account/why-didnt-i-get-my-account-confirmation-email,Account,3625443216,http://sales.hubspot.com/es/articles/kcs_article/account/why-didnt-i-get-my-account-confirmation-email
es/articles/kcs_article/account/where-can-i-find-my-hubspot-portal-id,Account,3795502890,http://sales.hubspot.com/es/articles/kcs_article/account/where-can-i-find-my-hubspot-portal-id
es/articles/kcs_article/integrations/resolving-common-salesforce-integration-errors,Integrations,3625444561,http://sales.hubspot.com/es/articles/kcs_article/integrations/resolving-common-salesforce-integration-errors
es/articles/kcs_article/integrations/zapier-integration,Integrations,3795502875,http://sales.hubspot.com/es/articles/kcs_article/integrations/zapier-integration
es/articles/kcs_article/settings/how-to-setup-log-in-crm,Settings,3652079887,http://sales.hubspot.com/es/articles/kcs_article/settings/how-to-setup-log-in-crm
es/articles/kcs_article/tasks/can-i-automate-tasks-in-the-crm,Tasks,3590536344,http://sales.hubspot.com/es/articles/kcs_article/tasks/can-i-automate-tasks-in-the-crm
es/articles/kcs_article/tasks/can-i-export-my-tasks,Tasks,3590536419,http://sales.hubspot.com/es/articles/kcs_article/tasks/can-i-export-my-tasks
es/articles/kcs_article/tasks/how-can-i-customize-my-task-view,Tasks,3590536359,http://sales.hubspot.com/es/articles/kcs_article/tasks/how-can-i-customize-my-task-view
es/articles/kcs_article/tasks/how-can-i-set-a-task-as-completed,Tasks,3590536389,http://sales.hubspot.com/es/articles/kcs_article/tasks/how-can-i-set-a-task-as-completed
es/articles/kcs_article/tasks/how-do-i-add-a-task-in-the-crm,Tasks,3651687653,http://sales.hubspot.com/es/articles/kcs_article/tasks/how-do-i-add-a-task-in-the-crm
es/articles/kcs_article/tasks/how-do-i-send-internal-reminders-about-contacts-in-hubspot-crm,Tasks,3651687658,http://sales.hubspot.com/es/articles/kcs_article/tasks/how-do-i-send-internal-reminders-about-contacts-in-hubspot-crm
es/articles/kcs_article/email-tracking/can-hubspot-sales-track-more-than-one-email-address,Email-Tracking,3652076412,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/can-hubspot-sales-track-more-than-one-email-address
es/articles/kcs_article/email-tracking/do-people-know-that-i-am-tracking-my-email-using-hubspot-sales,Email-Tracking,3651739783,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/do-people-know-that-i-am-tracking-my-email-using-hubspot-sales
es/articles/kcs_article/tasks/how-can-i-track-links-sent-in-my-emails,Email-Tracking,3625443491,http://sales.hubspot.com/es/articles/kcs_article/tasks/how-can-i-track-links-sent-in-my-emails
es/articles/kcs_article/email-tracking/how-does-hubspot-sales-email-tracking-work,Email-Tracking,3694995541,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/how-does-hubspot-sales-email-tracking-work
es/articles/kcs_article/email-tracking/how-to-send-a-tracked-email,Email-Tracking,3652079712,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/how-to-send-a-tracked-email
es/articles/kcs_article/email-tracking/how-to-track-emails-from-your-iphone,Email-Tracking,3652076442,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/how-to-track-emails-from-your-iphone
es/articles/kcs_article/email-tracking/multiple-hubspot-sales-accounts,Email-Tracking,3590558099,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/multiple-hubspot-sales-accounts
es/articles/kcs_article/email-tracking/my-scheduled-email-button-is-grayed-out,Email-Tracking,3652101167,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/my-scheduled-email-button-is-grayed-out
es/articles/kcs_article/email-tracking/not-receiving-notifications-when-sending-a-tracked-email-from-outlook,Email-Tracking,3625443821,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/not-receiving-notifications-when-sending-a-tracked-email-from-outlook
es/articles/kcs_article/email-tracking/prevent-link-tracking,Email-Tracking,3652076507,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/prevent-link-tracking
es/articles/kcs_article/email-tracking/prevent-tracking-on-selected-email-addresses,Email-Tracking,3652076482,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/prevent-tracking-on-selected-email-addresses
es/articles/kcs_article/email-tracking/hubspot-sales-does-not-appear-in-gmail,Email-Tracking,3795527420,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/hubspot-sales-does-not-appear-in-gmail
es/articles/kcs_article/email-tracking/hubspot-sales-does-not-appear-in-outlook,Email-Tracking,3652079832,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/hubspot-sales-does-not-appear-in-outlook
es/articles/kcs_article/email-tracking/the-extension-does-not-appear-in-chrome,Email-Tracking,3660838824,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/the-extension-does-not-appear-in-chrome
es/articles/kcs_article/sequences/unenroll-from-sequence,Sequences,3590528219,http://sales.hubspot.com/es/articles/kcs_article/sequences/unenroll-from-sequence
es/articles/kcs_article/sequences/what-time-will-steps-execute-sequences,Sequences,3795503395,http://sales.hubspot.com/es/articles/kcs_article/sequences/what-time-will-steps-execute-sequences
es/articles/kcs_article/email-tracking/hubspot-sales-does-not-appear-in-outlook,Email-Tracking,3590573759,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/hubspot-sales-does-not-appear-in-outlook
es/articles/kcs_article/email-tracking/your-email-was-not-tracked,Email-Tracking,3652076522,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/your-email-was-not-tracked
