post_body,id
"<p>In rare circumstances, you may find a Call-to-Action (CTA) button, one originally intended to show only once on a HubSpot page, to actually appear two times, either right next to or on top of each other. This is caused by an additional anchor tag surrounding the CTA token within the source code.</p><!--more--><p>In order to resolve this particular issue, you will need to remove the anchor tag surrounding the CTA, only leaving the CTA token. Please follow the steps detailed below to successfully remove the unnecessary anchor tag.</p><ul><li>Navigate to the HubSpot page in question, and select to edit it</li><li>Locate the specific module containing the double representation of the CTA</li><li>Click on the <strong>Source Code</strong> icon in order to review the module's source code</li></ul><ul><li>As exemplified below, the CTA token, {% raw %}<code>{{cta('e76830f3-d29c-455d-a918-f079802751b3')}}</code>{% endraw %}, is surrounded by an <a href=""http://www.w3schools.com/tags/tag_a.asp"">anchor tag</a> (<em>&lt;a href=""http:....&gt;&lt;img class=""hs-cta-img"" id=""hs-cta-img-...."" style=""border-width:0px;"" src=""https://......"" /&gt;&lt;/a&gt;</em>)</li></ul><figure><img alt=""User-added image"" src=""http://cdn2.hubspot.net/hub/181288/file-1375675571-png/Public_KCS_Images/CTAsurroundedAnchorTag.png""><figcaption>User-added image</figcaption></figure><ul><li><strong>Delete</strong> the unnecessary anchor tag, <strong>only leaving the CTA token</strong>:</li></ul><figure><img alt=""User-added image"" src=""http://cdn2.hubspot.net/hub/181288/file-1378918480-png/Public_KCS_Images/CTAtoken.png""><figcaption>User-added image</figcaption></figure><p>Completing these steps will ensure the CTA is only rendered once. However, in the case these troubleshooting steps prove difficult or unsuccessful, please contact our <a href=""http://help.hubspot.com/support"">HubSpot Support Team</a> for further assistance.</p>",3322959489
"<p>By default, HubSpot fields are set to update Salesforce only if there is no value in the corresponding field. This means that in most cases, if HubSpot attempts to update a Salesforce field that already contains a value, the value in HubSpot will be overwritten with the value in Salesforce. If you would like to change this setting, meaning when HubSpot should update data to the corresponding Salesforce field, please follow the directions noted below.</p><!--more--><ul><li>Navigate to your <strong>Account Menu</strong> &gt; <strong>Integrations</strong>.</li><li>Click on <strong>Settings</strong> under your Salesforce Integration.</li><li>On the following page, click on <strong>Contacts Field Mappings</strong>.</li><li>Under the Contact Field Mappings page you will find all of the field mappings between your HubSpot portal and Salesforce instance - <strong>Locate the field mapping you would like to edit</strong>.</li><li>Once you find the field mapping in question, click on the its corresponding <strong>Gear Icon </strong>&gt; select <strong>Edit</strong>.</li></ul><figure><img alt=""User-added image"" src=""http://cdn2.hubspot.net/hub/181288/file-2242666149-png/Public_KCS_Images/Integrations/Salesforce/ContactFieldMappingGearIcon.png""><figcaption>User-added image</figcaption></figure><ul><li>Under <em>When should HubSpot data update the corresponding Salesforce field?</em> select one of the following:</li><li><strong>Always </strong>- The most recent data from either system will populate the field. So, if for example, HubSpot has the latest data for the field in question, a HubSpot sync will overwrite whatever value is found in that field in Salesforce.</li><li><strong>Only if blank in Salesforce</strong> - A value will overwrite a blank field found in Salesforce. In other words, if Salesforce already has the data, the field in Salesforce is left untouched.</li><li><strong>Never -</strong> A HubSpot sync will never overwrite any value, including null, found in that property. Salesforce will only update the HubSpot property.</li><li>I never want data to pass between these fields - This option is basically for the case you no longer want the fields to sync.</li></ul><figure><img alt=""User-added image"" src=""http://cdn2.hubspot.net/hub/181288/file-2242666154-png/Public_KCS_Images/Integrations/Salesforce/EditMappingPermissions.png""><figcaption>When ready, click on Save Mapping to save your edit.</figcaption></figure><p>Related Articles:</p><ul><li><a href=""http://help.hubspot.com/articles/KCS_Article/Salesforce/What-do-the-different-update-rules-for-my-field-mappings-mean?__hstc=20964263.7298848f39b63817bd0ed7ac8a6befcc.1442430697455.1443100454309.1443109381224.7&amp;__hssc=20964263.111.1443109381224&amp;__hsfp=2217202602"" target=""_blank"">What do the different update rules for my field mappings mean?</a></li><li><a href=""http://knowledge.hubspot.com/salesforce-integration-user-guide/how-to-map-contact-properties-between-hubspot-and-salesforce?__hstc=20964263.7298848f39b63817bd0ed7ac8a6befcc.1442430697455.1443100454309.1443109381224.7&amp;__hssc=20964263.111.1443109381224&amp;__hsfp=2217202602"" target=""_blank"">How to map contact properties between HubSpot and Salesforce</a></li></ul>",3322967354
"<p>By default, HubSpot will place cookies on the domain level, so this type of tracking setup requires additional steps.</p><!--more--><p>If you have <strong>multiple HubSpot accounts</strong> with<strong> subdomains</strong> that you wish to track separately, please contact <a href=""http://help.hubspot.com/support"">HubSpot Support</a> to help update your cookie settings.</p>",3322967449
"<ul><li>HubSpot has given you the ability to display your SurveyMonkey information in Salesforce via the HubSpot Intelligence visualforce element that is automatically installed with HubSpot<ul><li>If you have not added the HubSpot Intelligence element to your page layouts, you can see how do to that <a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-add-the-HubSpot-Intelligence-window-to-my-Salesforce-page-layouts"">here</a></li></ul></li><li>On the HubSpot Intelligence of the lead or contact that has filled out a survey, you will now see an item for surveys filled out, as well as a blue hyperlink with the name of the survey<ul><li>Click the hyperlink to see the responses to the survey</li></ul></li></ul><figure><img alt=""HubSpot Intelligence"" src=""http://cdn2.hubspot.net/hub/181288/file-658671138-png/Public_KCS_Images/hsiSM.png""><figcaption>Within this window, you will be able to see the responses to the survey. To get back, simply click the 'Return to HubSpot Intelligence' link</figcaption></figure><p>Within this window, you will be able to see the responses to the survey. To get back, simply click the 'Return to HubSpot Intelligence' link.</p><!--more--><figure><img alt=""SurveyMonkey data on HubSpot Intelligence"" src=""http://cdn2.hubspot.net/hub/181288/file-658698928-png/Public_KCS_Images/visualforceSM.png""><figcaption>SurveyMonkey data on HubSpot Intelligence</figcaption></figure>",3345733796
"<p>If a contact has been merged you will see a merge event on the contact timeline.</p><!--more--><ul><li>Navigate to the contact record</li><li>On the timeline look for ""<strong>Contact Merge</strong>""</li><li>Next to this merge event you will see the email address of the contact who was merged into this record</li></ul><p>In order to see property values that came from the secondary contact</p><ul><li>Click on <strong>Property History </strong>from the contact record</li><li>Under the <strong>Change Source</strong> column you will see ""via merge"" for all activities previously associated with the secondary contact.</li></ul><p>Further reading:</p><ul><li><a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-merge-contacts"" target=""_blank"">How to merge contacts</a></li><li><a href=""http://help.hubspot.com/articles/KCS_Article/What-happens-when-I-merge-two-contacts"" target=""_blank"">Understand&nbsp;what to expect when contacts are merged and the inherent implications</a></li></ul>",3391187438
"<p>See all of your customers in HubSpot by creating a list of contacts whose Lifecycle Stage property is equal to Customer.</p><!--more--><p>Follow the <a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-make-a-smart-list-based-on-a-property"">steps in this article</a> to create a list based on contact property. Your criteria list criteria should be set to <strong>Contact Property | Lifecycle Stage | is equal to | Customer.</strong></p><p><strong>Related articles:</strong></p><ul><li><a href=""http://help.hubspot.com/articles/KCS_Article/What-is-Lifecycle-Stage"" target=""_blank"">What is Lifecycle Stage?</a></li><li><a href=""http://knowledge.hubspot.com/contacts-user-guide/how-to-segment-your-leads-and-customers-into-groups"" target=""_blank"">How to segment your existing and offline contacts into groups</a></li></ul>",3345733696
"<p><strong>Google no longer supports Authorship</strong><span>&nbsp;- Please </span><a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-create-a-Blog-Author?__hstc=20964263.7298848f39b63817bd0ed7ac8a6befcc.1442430697455.1443038484672.1443042044360.4&amp;__hssc=20964263.81.1443042044360&amp;__hsfp=2217202602"" target=""_blank"">click here</a><span> to create blog authors within your HubSpot Blog.&nbsp;</span></p>",3320883649
"<p>The<strong> Keywords tool</strong> reports visits and contacts from Organic Search traffic from the past <strong>30 days</strong>.</p><!--more--><p>To see Organic Search visits for your keywords for a different time frame:</p><ul><li>Navigate to <strong>Reports </strong>&gt; <strong>Sources </strong>&gt; <strong>Organic Search</strong></li><li>At the top of the report, change the ""This month to date"" dropdown to a different date range.</li></ul><p><strong>Please note: </strong>In September 2013, Google began <strong>encrypting search results</strong> for all users. This means that web analytics tools, like HubSpot, are no longer able to see the specific keywords that are bringing visitors to your website from Google searches (other search engines like Yahoo, Bing, etc. still pass along keyword data). <a href=""http://blog.hubspot.com/marketing/google-encrypting-all-searches-nj"">Learn more about this change.</a></p><p><strong>Related articles:</strong></p><ul><li><a href=""http://knowledge.hubspot.com/keyword-user-guide/understanding-keywords"" target=""_blank"">Understanding Keywords</a></li><li><a href=""http://help.hubspot.com/articles/KCS_Article/What-does-Unknown-Keywords-SSL-mean-under-Organic-Search-in-the-Sources-Report"" target=""_blank"">What does ""Unknown Keywords (SSL)"" mean under Organic Search in the Sources Report?</a></li><li><a href=""http://knowledge.hubspot.com/keyword-user-guide/localizing-the-keywords-tool"" target=""_blank"">Localizing the Keywords tool</a></li></ul>",3366253037
"<p><strong>Reports Home</strong> is a hub where you can see all of your past reports, create new reports and look into trends and suggestions based on your marketing performance. Use the Reports Home dashboard to quickly see basic numbers and statistics about your marketing and dive deeper into reports and suggestions.</p><!--more--><h2>1. Navigate to Reports <strong>&gt;</strong> Reports Home</h2><figure><img alt=""Reports Home"" src=""http://cdn2.hubspot.net/hub/217515/file-535825798-jpg/KCS_images/Reports_Home.jpg""><figcaption>Reports Home</figcaption></figure><h2>2. Analyze your Marketing Trends</h2><p>At the top of the <strong>Reports Home </strong>dashboard, you will see how some of your marketing efforts are performing over the past week.</p><figure><img alt=""Reports_Home_trends"" src=""http://cdn2.hubspot.net/hub/217515/file-919580032-png/KCS_images/Reports_Home_trends.png""><figcaption>Click on the 'More Trends' arrow on the right side to see your performance broken down further.</figcaption></figure><figure><img alt=""Reports home trends details"" src=""http://cdn2.hubspot.net/hub/217515/file-913724319-png/KCS_images/Reports_home_trends_details.png""><figcaption>Reports home trends details</figcaption></figure><h2>3. Compare your trends</h2><p>On the <strong>Trends &amp; Suggestions</strong> page, you can compare last week's marketing results to this week, broken down by marketing source. To filter, use the top bar. You can choose from <em>increasing/decreasing trends</em>, <em>Contacts/Visits</em>, and <em>specific Sources buckets</em>.</p><figure><img alt=""Reports_home_trends_filters"" src=""http://cdn2.hubspot.net/hub/217515/file-915043958-png/KCS_images/Reports_home_trends_filters.png""></figure><p>Each graph shows the comparison of Contacts or Visitors gained through the source. The graphs that are orange outline the number of Contacts gained from each source and the blue graphs show the number of visits gained. From each graph, you can be taken right to the related tool in HubSpot.</p><h2>4. Manage your saved reports</h2><p>From<strong> Reports Home</strong>, you can see all of the custom reports that you have created in HubSpot, in order of creation date. At the top of the Reports Home dashboard, you can filter by <em>report type</em>, <em>create date</em>, and the <em>user who created the report</em>.</p><figure><img alt=""Reports home dashboard"" src=""http://cdn2.hubspot.net/hub/217515/file-919710382-png/KCS_images/Reports_home_custom_report.png""><figcaption>Click into an existing report to view the report, export the report, and email the report.</figcaption></figure><h2>5. Create a new report</h2><p>Click on the '<strong>Create a new report</strong>' button in the top right corner of the Reports Home dashboard to build a new report. Depending upon your HubSpot subscription level, you may have the options to create multiple types of reports:</p><ul><li><a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-create-a-custom-Sources-Report?__hstc=20964263.7298848f39b63817bd0ed7ac8a6befcc.1442430697455.1443042044360.1443045026109.5&amp;__hssc=20964263.7.1443045026109&amp;__hsfp=2217202602"" target=""_blank"">Sources Report</a></li><li><a href=""http://knowledge.hubspot.com/how-to-use-the-contacts-report#newreport"">Contacts Report</a> (Enterprise Customers only)</li><li><a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-create-Events-in-HubSpot"">Event Analysis Report</a> (Enterprise Customers only)</li><li><a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-create-a-Companies-Report"">Companies Report</a> (Enterprise Customers only)</li><li><a href=""http://knowledge.hubspot.com/reports-user-guide-v2/how-to-use-the-reporting-add-on-in-hubspot"">Reporting Add-On</a> (paid add-on)</li></ul>",3394189838
"<p>Please follow the steps noted below to replace a file in HubSpot‰Ûªs COS File Manager.</p><!--more--><ul><li>Navigate to <strong>Content</strong> &gt; <strong>Content Settings</strong> &gt; <strong>File Manager</strong> under <em>Content Optimization System Tools</em>.</li><li>Locate the file that is to be replaced &gt; Click the <strong>Gear</strong> icon to the right-hand side of the file &gt; select <strong>Replace</strong>.</li></ul><figure><img alt=""User-added image"" src=""http://cdn2.hubspot.net/hub/181288/file-2314934432-png/Public_KCS_Images/File_Manager/ReplaceFile.png""><figcaption>User-added image</figcaption></figure><ul><li>You can either drag the file from your desktop into the outlined box or click the <strong>Upload a file</strong> button. If you click on the button, browse to the local copy of the file on your machine and select the replacement file. When the file has been successfully replaced the File Manager will refresh to default view.</li></ul><figure><img alt=""User-added image"" src=""http://cdn2.hubspot.net/hub/181288/file-2314934437-png/Public_KCS_Images/File_Manager/UploadFileforReplacing.png""><figcaption>User-added image</figcaption></figure><p>Related Articles:</p><ul><li><a href=""http://help.hubspot.com/articles/KCS_Article/COS-General/Why-hasn-t-my-updated-file-changed?__hstc=20964263.7298848f39b63817bd0ed7ac8a6befcc.1442430697455.1443042044360.1443045026109.5&amp;__hssc=20964263.13.1443045026109&amp;__hsfp=2217202602"" target=""_blank"">Why hasn't my updated file in the file manager changed?</a></li></ul>",3393991983
"<p>Please follow the directions noted below to get a direct link from a file hosted on HubSpot's COS File Manager.</p><!--more--><ul><li>Navigate to <strong>Content</strong> &gt; <strong>Content Settings</strong> &gt; <strong>File Manager</strong> under the <em>Content Optimization System Tools</em> section.</li><li>Locate the file you'd like to share with others &gt; Click the <strong>Gear</strong> icon on the right-hand side of the highlighted file &gt; Select <strong>Get file URL</strong> to see the file's current path.</li></ul><figure><img alt=""User-added image"" src=""http://cdn2.hubspot.net/hub/181288/file-2312994494-png/Public_KCS_Images/File_Manager/GetFileURL.png""><figcaption>User-added image</figcaption></figure><ul><li>You can either use the link as is or specify a specific domain path via the domain drop down box in that interface (to get a more ""SEO friendly"" file location). Once you've configured the domain options, you can simply copy the URL for use in your content.</li></ul><figure><img alt=""User-added image"" src=""http://cdn2.hubspot.net/hub/181288/file-2308555888-png/Public_KCS_Images/File_Manager/CopyFileURLFileManager.png""><figcaption>User-added image</figcaption></figure><p>A few notes on file downloads and PDF docs in general:</p><ul><li>Most modern browsers will open links to PDF files<strong> inside the browser itself for the visitor to view</strong>, as opposed to downloading the actual file to the visitors computer</li><li>In turn, whether or not a download is prompted is<strong> largely dependent on the browser in use and its settings</strong></li><li>At present there is no way to force a download<strong> without using server side script</strong>, which is <strong>not supported</strong> by the HubSpot content systems</li><li>The visitor can always download the pdf from the subsequent window that opens, but you may want to <strong>provide a prompt</strong> above your link such as <strong>""Right click and select Save as to download"" </strong>for example</li><li>Additionally, you could consider<strong> packaging your PDF or document file in a .zip file</strong> which will usually <strong>force the visitor to download it</strong></li></ul><p>Related Articles:</p><ul><li><a href=""http://help.hubspot.com/articles/KCS_Article/COS-General/Can-I-remove-the-cdn1-cdn2-hubspot-com-from-the-URL-of-files-uploaded-to-the-File-Manager?__hstc=20964263.7298848f39b63817bd0ed7ac8a6befcc.1442430697455.1443042044360.1443045026109.5&amp;__hssc=20964263.15.1443045026109&amp;__hsfp=2217202602"" target=""_blank"">Can I remove the ""cdn1/cdn2.hubspot.com"" from the URL of files uploaded to the File Manager?</a></li></ul>",3320927424
"<p>There is no HubSpot tool that allows you to split a list exactly in half. If you need to do this, the best option is to <a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-export-contacts-from-Hubspot"">export your list</a> and split it in Excel.</p><!--more--><p><strong>Related articles:</strong></p><ul><li><a href=""http://help.hubspot.com/articles/KCS_Article/How-does-an-email-A-B-test-work"">How does an email A/B test work?</a></li></ul>",3317508149
"<p>Make sure all of the following statements are true:</p><!--more--><h1> 1. You have not purchased, rented, or leased this list from a third party.</h1><p>Don&rsquo;t import purchased or third party lists -- even those that promise to consist entirely of &quot;opted in&quot; people. Purchased lists are by definition filled with people who don&rsquo;t know who you are yet, and that&rsquo;s a big problem. When your email hits their inbox, they&rsquo;re much more likely to mark your email as spam. This could get you <a href=""http://help.hubspot.com/articles/FAQ/email-suspension-faq"">suspended from sending email</a> using HubSpot.</p><h1> 2. You have an unsubscribe or suppression list to go along with it.</h1><p>Email lists should always come in twos. The second list is your suppression list, and should include emails that bounced, opted out, or even reported you as spam. If you&rsquo;re not <a href=""http://help.hubspot.com/articles/How_To_Doc/import-opt-out-list"">uploading a suppression list</a> at the same time you&rsquo;re uploading a contact list, it&rsquo;s doubtful you know enough about these contacts to email them effectively.</p><h1> <br> 3.You have a prior relationship with the contacts on this list.</h1><p>If someone doesn&rsquo;t know who you are yet, email is not the place to introduce yourself. You need to create great content and organically draw leads to you, and then engage them via email once they&rsquo;ve voluntarily shared their email address with you. Anything else is just bad Outbound Marketing -- and it simply doesn&rsquo;t work.</p><h1> <br> 4. You have emailed these contacts within the past year.</h1><p>Email addresses that are over a year old <a href=""http://help.hubspot.com/articles/FAQ/what-are-bounces"">bounce</a> at a significantly higher rate than more recently acquired email addresses. Addresses change. People change companies, ISPs, and last names. Emails that you send to stale addresses are much more likely to be hard bounced or marked as spam. If your contacts haven&rsquo;t heard from you in over twelve months, it&rsquo;s time to use valid inbound marketing tactics to attract them to you all over again. Honestly, it&rsquo;s better that way.</p><p><strong>Email marketing is not a situation where it's better to ask for forgiveness than permission.</strong> If you&rsquo;re still not sure if your contact list is okay to use with HubSpot, please <a href=""mailto:emaildeliverability@hubspot.com?subject=List Eligibility Inquiry"">contact</a> our email deliverability team for assistance. We're here to help.</p><p>If you&rsquo;re unsure why it&rsquo;s important to maintain good, high-quality contacts lists, <a href=""http://help.hubspot.com/articles/FAQ/email-suspension-faq"">learn why you might be suspended from sending emails in HubSpot</a>.</p><p>Still have questions? Please reach out to your Tech Setup Engineer, Inbound Marketing Consultant, or Account Manager.</p>",3320863409
